,Name,hate
0,08291.png,1
1,46971.png,1
2,03745.png,1
3,83745.png,1
4,80243.png,1
5,05279.png,1
6,01796.png,1
7,53046.png,1
8,82301.png,1
9,31752.png,1
10,27635.png,1
11,80597.png,1
12,45368.png,1
13,17963.png,1
14,53968.png,1
15,10749.png,1
16,25149.png,1
17,87520.png,1
18,89071.png,1
19,09563.png,1
20,72048.png,1
21,49826.png,1
22,26453.png,1
23,12650.png,1
24,02568.png,1
25,83954.png,1
26,24316.png,1
27,62035.png,1
28,65342.png,1
29,92058.png,1
30,58672.png,1
31,54069.png,1
32,91586.png,1
33,87130.png,1
34,95640.png,1
35,47819.png,1
36,59140.png,1
37,13647.png,1
38,65832.png,1
39,57621.png,1
40,40982.png,1
41,43275.png,1
42,12973.png,1
43,74350.png,1
44,02478.png,1
45,51607.png,1
46,65403.png,1
47,29750.png,1
48,26547.png,1
49,02143.png,1
50,68192.png,1
51,52603.png,1
52,05349.png,0
53,06491.png,1
54,74013.png,1
55,27485.png,1
56,13026.png,1
57,17265.png,0
58,91405.png,0
59,14026.png,1
60,18945.png,1
61,83920.png,1
62,83497.png,0
63,04569.png,0
64,39607.png,1
65,09715.png,1
66,01925.png,1
67,94813.png,0
68,29437.png,1
69,95038.png,0
70,64891.png,1
71,63280.png,1
72,17682.png,1
73,84510.png,1
74,28690.png,0
75,03567.png,1
76,95830.png,1
77,29873.png,1
78,70953.png,1
79,56124.png,0
80,10386.png,1
81,19530.png,1
82,94185.png,1
83,48370.png,1
84,74058.png,0
85,45062.png,0
86,94170.png,0
87,04538.png,0
88,83946.png,1
89,68127.png,0
90,97453.png,0
91,39578.png,1
92,49360.png,0
93,87034.png,0
94,06123.png,1
95,17028.png,1
96,42903.png,0
97,71680.png,1
98,24135.png,0
99,32875.png,0
100,79085.png,1
101,61872.png,1
102,30579.png,0
103,62504.png,0
104,43810.png,1
105,19730.png,1
106,37420.png,0
107,82509.png,0
108,96284.png,1
109,97068.png,1
110,03214.png,0
111,23810.png,1
112,91836.png,1
113,05126.png,1
114,76092.png,0
115,64072.png,1
116,91058.png,0
117,21643.png,0
118,19523.png,0
119,32691.png,1
120,87169.png,1
121,92738.png,1
122,53027.png,0
123,27195.png,0
124,43910.png,0
125,05213.png,0
126,73945.png,0
127,56207.png,1
128,68459.png,1
129,63175.png,0
130,82945.png,0
131,34975.png,0
132,61973.png,1
133,16420.png,0
134,73069.png,1
135,47056.png,1
136,56428.png,0
137,54206.png,0
138,93172.png,0
139,56980.png,0
140,79615.png,0
141,38047.png,0
142,94560.png,1
143,96250.png,0
144,28951.png,0
145,27614.png,0
146,04857.png,1
147,79603.png,1
148,26985.png,1
149,14873.png,1
150,54893.png,0
151,48236.png,0
152,74908.png,0
153,96472.png,1
154,89430.png,0
155,76921.png,1
156,68409.png,1
157,16354.png,1
158,69548.png,1
159,01456.png,1
160,17950.png,0
161,76295.png,0
162,42580.png,1
163,96180.png,1
164,98701.png,1
165,15243.png,0
166,41058.png,0
167,62375.png,1
168,63507.png,0
169,31208.png,1
170,62319.png,1
171,68253.png,1
172,34687.png,1
173,34209.png,0
174,39827.png,1
175,46920.png,1
176,84273.png,0
177,39018.png,0
178,54780.png,1
179,69150.png,1
180,29843.png,0
181,19385.png,0
182,64510.png,0
183,47103.png,0
184,61038.png,0
185,71620.png,1
186,91602.png,0
187,30145.png,0
188,91756.png,1
189,63745.png,1
190,47162.png,1
191,59806.png,0
192,07135.png,1
193,35497.png,0
194,84362.png,0
195,84015.png,1
196,87251.png,0
197,82590.png,1
198,59738.png,1
199,35470.png,0
200,72061.png,1
201,03524.png,1
202,86170.png,1
203,50841.png,0
204,46087.png,0
205,42058.png,0
206,01967.png,0
207,54930.png,1
208,38076.png,1
209,38910.png,1
210,06723.png,1
211,02157.png,1
212,62948.png,1
213,21075.png,0
214,73601.png,1
215,32579.png,0
216,21567.png,1
217,01765.png,1
218,53172.png,0
219,32568.png,1
220,01742.png,0
221,56098.png,1
222,78612.png,0
223,34018.png,1
224,53609.png,0
225,89362.png,1
226,80426.png,1
227,83045.png,1
228,61503.png,0
229,41890.png,1
230,52091.png,1
231,24396.png,1
232,72168.png,1
233,85761.png,1
234,35719.png,0
235,90256.png,1
236,20984.png,0
237,95086.png,1
238,49028.png,0
239,18356.png,0
240,52634.png,0
241,80512.png,1
242,62703.png,0
243,95176.png,0
244,27384.png,0
245,82437.png,1
246,26943.png,1
247,09152.png,0
248,07429.png,1
249,75639.png,1
250,46812.png,0
251,63827.png,1
252,41276.png,1
253,56413.png,1
254,69512.png,0
255,43175.png,1
256,54129.png,0
257,23645.png,1
258,89425.png,1
259,16923.png,1
260,04769.png,1
261,69815.png,0
262,91468.png,0
263,52104.png,0
264,52031.png,0
265,08795.png,0
266,50317.png,1
267,73914.png,1
268,03197.png,1
269,49621.png,0
270,68530.png,1
271,98547.png,0
272,03519.png,1
273,43698.png,0
274,84756.png,1
275,93051.png,0
276,68257.png,0
277,12834.png,1
278,57208.png,0
279,26439.png,0
280,53769.png,0
281,28406.png,0
282,53418.png,0
283,10785.png,1
284,84302.png,0
285,76015.png,0
286,34189.png,0
287,52079.png,0
288,63987.png,0
289,73526.png,0
290,02145.png,0
291,84102.png,0
292,32981.png,0
293,73605.png,0
294,07382.png,1
295,64071.png,0
296,80912.png,0
297,84762.png,1
298,39076.png,0
299,85679.png,1
300,38095.png,0
301,52394.png,0
302,14865.png,0
303,54819.png,0
304,46082.png,0
305,73962.png,1
306,78462.png,0
307,49805.png,0
308,24098.png,1
309,67435.png,1
310,60893.png,0
311,93148.png,0
312,07351.png,0
313,16850.png,0
314,96312.png,0
315,86195.png,0
316,84162.png,0
317,12067.png,0
318,05938.png,1
319,43092.png,0
320,30148.png,1
