,Name,hate,prediction
0,08291.png,1,0
1,46971.png,1,0
2,03745.png,1,0
3,83745.png,1,0
4,80243.png,1,0
5,05279.png,1,0
6,01796.png,1,0
7,53046.png,1,0
8,82301.png,1,0
9,31752.png,1,0
10,27635.png,1,0
11,80597.png,1,0
12,45368.png,1,0
13,17963.png,1,0
14,53968.png,1,0
15,10749.png,1,0
16,25149.png,1,0
17,87520.png,1,0
18,89071.png,1,0
19,09563.png,1,0
20,72048.png,1,0
21,49826.png,1,0
22,26453.png,1,0
23,12650.png,1,0
24,02568.png,1,0
25,83954.png,1,0
26,24316.png,1,0
27,62035.png,1,0
28,65342.png,1,0
29,92058.png,1,0
30,58672.png,1,0
31,54069.png,1,0
32,91586.png,1,0
33,87130.png,1,0
34,95640.png,1,0
35,47819.png,1,0
36,59140.png,1,1
37,13647.png,1,0
38,65832.png,1,0
39,57621.png,1,0
40,40982.png,1,0
41,43275.png,1,0
42,12973.png,1,1
43,74350.png,1,0
44,02478.png,1,0
45,51607.png,1,0
46,65403.png,1,0
47,29750.png,1,0
48,26547.png,1,0
49,02143.png,1,0
50,68192.png,1,0
51,52603.png,1,0
52,05349.png,0,0
53,06491.png,1,1
54,74013.png,1,0
55,27485.png,1,1
56,13026.png,1,1
57,17265.png,0,0
58,91405.png,0,0
59,14026.png,1,0
60,18945.png,1,0
61,83920.png,1,0
62,83497.png,0,0
63,04569.png,0,0
64,39607.png,1,0
65,09715.png,1,0
66,01925.png,1,0
67,94813.png,0,0
68,29437.png,1,1
69,95038.png,0,0
70,64891.png,1,0
71,63280.png,1,0
72,17682.png,1,1
73,84510.png,1,0
74,28690.png,0,0
75,03567.png,1,0
76,95830.png,1,0
77,29873.png,1,0
78,70953.png,1,0
79,56124.png,0,0
80,10386.png,1,0
81,19530.png,1,0
82,94185.png,1,0
83,48370.png,1,0
84,74058.png,0,0
85,45062.png,0,0
86,94170.png,0,0
87,04538.png,0,0
88,83946.png,1,1
89,68127.png,0,0
90,97453.png,0,1
91,39578.png,1,0
92,49360.png,0,0
93,87034.png,0,0
94,06123.png,1,0
95,17028.png,1,0
96,42903.png,0,0
97,71680.png,1,0
98,24135.png,0,0
99,32875.png,0,0
100,79085.png,1,1
101,61872.png,1,0
102,30579.png,0,0
103,62504.png,0,0
104,43810.png,1,0
105,19730.png,1,0
106,37420.png,0,0
107,82509.png,0,0
108,96284.png,1,0
109,97068.png,1,0
110,03214.png,0,0
111,23810.png,1,0
112,91836.png,1,0
113,05126.png,1,1
114,76092.png,0,1
115,64072.png,1,0
116,91058.png,0,0
117,21643.png,0,0
118,19523.png,0,0
119,32691.png,1,0
120,87169.png,1,0
121,92738.png,1,0
122,53027.png,0,0
123,27195.png,0,0
124,43910.png,0,0
125,05213.png,0,0
126,73945.png,0,0
127,56207.png,1,0
128,68459.png,1,0
129,63175.png,0,0
130,82945.png,0,0
131,34975.png,0,0
132,61973.png,1,0
133,16420.png,0,0
134,73069.png,1,0
135,47056.png,1,0
136,56428.png,0,0
137,54206.png,0,1
138,93172.png,0,0
139,56980.png,0,0
